from;to;status;distance;time
Roma;Firenze;OK;275449;9518
Roma;Milano;OK;575722;19394
Roma;Torino;OK;694758;24371
Roma;Trento;OK;588354;19696
Roma;Venezia;OK;530843;17906
Roma;Trieste;OK;686108;23263
Roma;Genova;OK;509480;17966
Roma;Palermo;OK;920518;40222
Roma;Catanzaro;OK;607596;23027
Roma;Potenza;OK;373422;14152
Roma;Campobasso;OK;223836;9686
Roma;Perugia;OK;173273;7382
Roma;Bari;OK;422406;16328
Roma;Ancona;OK;310041;10593
Roma;L'Aquila;OK;116808;3888
Roma;Cagliari;OK;594552;178507
Roma;Aosta;OK;760314;26783
Roma;Napoli;OK;219089;7356
Roma;Bologna;OK;379304;13543
Firenze;Roma;OK;274869;9550
Firenze;Milano;OK;303947;10600
Firenze;Torino;OK;422983;15578
Firenze;Trento;OK;316580;10903
Firenze;Venezia;OK;259068;9112
Firenze;Trieste;OK;414333;14470
Firenze;Genova;OK;237705;9173
Firenze;Palermo;OK;1173498;48020
Firenze;Catanzaro;OK;860576;30825
Firenze;Potenza;OK;626402;21950
Firenze;Campobasso;OK;476816;17484
Firenze;Perugia;OK;153139;5503
Firenze;Bari;OK;675386;24126
Firenze;Ancona;OK;286262;11881
Firenze;L'Aquila;OK;363652;11538
Firenze;Cagliari;OK;787315;185098
Firenze;Aosta;OK;488540;17990
Firenze;Napoli;OK;472069;15154
Firenze;Bologna;OK;107529;4750
Milano;Roma;OK;575601;19193
Milano;Firenze;OK;306528;10665
Milano;Torino;OK;141059;6351
Milano;Trento;OK;241823;8927
Milano;Venezia;OK;269593;9993
Milano;Trieste;OK;424858;15351
Milano;Genova;OK;147111;5460
Milano;Palermo;OK;1474230;57663
Milano;Catanzaro;OK;1161308;40469
Milano;Potenza;OK;865949;31553
Milano;Campobasso;OK;743520;26661
Milano;Perugia;OK;453871;15147
Milano;Bari;OK;879406;30927
Milano;Ancona;OK;426668;16401
Milano;L'Aquila;OK;664384;21181
Milano;Cagliari;OK;1088047;194742
Milano;Aosta;OK;184243;7989
Milano;Napoli;OK;772800;24798
Milano;Bologna;OK;213043;6917
Torino;Roma;OK;694518;24040
Torino;Firenze;OK;425445;15512
Torino;Milano;OK;140765;6352
Torino;Trento;OK;373878;14063
Torino;Venezia;OK;401648;15130
Torino;Trieste;OK;556913;20487
Torino;Genova;OK;170573;7562
Torino;Palermo;OK;1593147;62510
Torino;Catanzaro;OK;1280225;45316
Torino;Potenza;OK;984866;36400
Torino;Campobasso;OK;862437;31508
Torino;Perugia;OK;572788;19994
Torino;Bari;OK;998323;35775
Torino;Ancona;OK;545586;21249
Torino;L'Aquila;OK;783301;26028
Torino;Cagliari;OK;1206964;199589
Torino;Aosta;OK;114118;5129
Torino;Napoli;OK;891718;29645
Torino;Bologna;OK;331960;11765
Trento;Roma;OK;588201;19406
Trento;Firenze;OK;319128;10878
Trento;Milano;OK;223234;8378
Trento;Torino;OK;355473;13589
Trento;Venezia;OK;212656;6852
Trento;Trieste;OK;367921;12209
Trento;Genova;OK;356548;12915
Trento;Palermo;OK;1486830;57876
Trento;Catanzaro;OK;1173908;40682
Trento;Potenza;OK;878549;31766
Trento;Campobasso;OK;756120;26874
Trento;Perugia;OK;466471;15360
Trento;Bari;OK;892006;31140
Trento;Ancona;OK;439268;16614
Trento;L'Aquila;OK;676984;21394
Trento;Cagliari;OK;1100647;194955
Trento;Aosta;OK;398656;15227
Trento;Napoli;OK;785401;25011
Trento;Bologna;OK;225643;7130
Venezia;Roma;OK;530473;17903
Venezia;Firenze;OK;261401;9374
Venezia;Milano;OK;269675;9633
Venezia;Torino;OK;401914;14845
Venezia;Trento;OK;211625;6659
Venezia;Trieste;OK;168983;6427
Venezia;Genova;OK;402989;14170
Venezia;Palermo;OK;1429103;56373
Venezia;Catanzaro;OK;1116180;39179
Venezia;Potenza;OK;801606;29490
Venezia;Campobasso;OK;679177;24599
Venezia;Perugia;OK;408743;13856
Venezia;Bari;OK;815063;28865
Venezia;Ancona;OK;362325;14339
Venezia;L'Aquila;OK;546836;19140
Venezia;Cagliari;OK;1042919;193452
Venezia;Aosta;OK;445097;16482
Venezia;Napoli;OK;727673;23508
Venezia;Bologna;OK;153839;5021
Trieste;Roma;OK;686314;23231
Trieste;Firenze;OK;417242;14702
Trieste;Milano;OK;425516;14961
Trieste;Torino;OK;557754;20173
Trieste;Trento;OK;367466;11987
Trieste;Venezia;OK;167947;6441
Trieste;Genova;OK;558830;19499
Trieste;Palermo;OK;1584944;61701
Trieste;Catanzaro;OK;1272021;44507
Trieste;Potenza;OK;957446;34819
Trieste;Campobasso;OK;835017;29927
Trieste;Perugia;OK;564584;19184
Trieste;Bari;OK;970904;34193
Trieste;Ancona;OK;518166;19667
Trieste;L'Aquila;OK;702677;24468
Trieste;Cagliari;OK;1198760;198780
Trieste;Aosta;OK;600938;21810
Trieste;Napoli;OK;883514;28836
Trieste;Bologna;OK;309679;10349
Genova;Roma;OK;512906;17993
Genova;Firenze;OK;243833;9465
Genova;Milano;OK;142355;5122
Genova;Torino;OK;169391;7303
Genova;Trento;OK;366812;12964
Genova;Venezia;OK;394582;14031
Genova;Trieste;OK;549846;19388
Genova;Palermo;OK;1411535;56463
Genova;Catanzaro;OK;1098613;39269
Genova;Potenza;OK;864439;30394
Genova;Campobasso;OK;714853;25928
Genova;Perugia;OK;391176;13947
Genova;Bari;OK;913423;32570
Genova;Ancona;OK;508115;19332
Genova;L'Aquila;OK;601689;19981
Genova;Cagliari;OK;1025352;193542
Genova;Aosta;OK;246278;10248
Genova;Napoli;OK;710106;23598
Genova;Bologna;OK;294490;9848
Palermo;Roma;OK;923910;40597
Palermo;Firenze;OK;1175057;48219
Palermo;Milano;OK;1475330;58095
Palermo;Torino;OK;1594365;63072
Palermo;Trento;OK;1487962;58397
Palermo;Venezia;OK;1430451;56607
Palermo;Trieste;OK;1585716;61965
Palermo;Genova;OK;1409087;56668
Palermo;Catanzaro;OK;384975;20534
Palermo;Potenza;OK;627928;30868
Palermo;Campobasso;OK;798169;37970
Palermo;Perugia;OK;1072881;46084
Palermo;Bari;OK;673177;33499
Palermo;Ancona;OK;1077941;48213
Palermo;L'Aquila;OK;933721;41656
Palermo;Cagliari;OK;1521229;218103
Palermo;Aosta;OK;1659922;65485
Palermo;Napoli;OK;722247;33985
Palermo;Bologna;OK;1278912;52245
Catanzaro;Roma;OK;606868;23232
Catanzaro;Firenze;OK;858015;30854
Catanzaro;Milano;OK;1158287;40730
Catanzaro;Torino;OK;1277323;45707
Catanzaro;Trento;OK;1170920;41032
Catanzaro;Venezia;OK;1113408;39242
Catanzaro;Trieste;OK;1268673;44599
Catanzaro;Genova;OK;1092045;39302
Catanzaro;Palermo;OK;381849;20769
Catanzaro;Potenza;OK;310885;13503
Catanzaro;Campobasso;OK;481127;20605
Catanzaro;Perugia;OK;755839;28718
Catanzaro;Bari;OK;356134;16134
Catanzaro;Ancona;OK;760898;30848
Catanzaro;L'Aquila;OK;616678;24291
Catanzaro;Cagliari;OK;1204186;200738
Catanzaro;Aosta;OK;1342880;48120
Catanzaro;Napoli;OK;405205;16620
Catanzaro;Bologna;OK;961869;34879
Potenza;Roma;OK;376494;14882
Potenza;Firenze;OK;627641;22504
Potenza;Milano;OK;865481;31726
Potenza;Torino;OK;984517;36703
Potenza;Trento;OK;878114;32028
Potenza;Venezia;OK;801703;29476
Potenza;Trieste;OK;956968;34834
Potenza;Genova;OK;861671;30952
Potenza;Palermo;OK;626522;30939
Potenza;Catanzaro;OK;313599;13745
Potenza;Campobasso;OK;193957;10250
Potenza;Perugia;OK;525465;20368
Potenza;Bari;OK;127091;7305
Potenza;Ancona;OK;450813;17424
Potenza;L'Aquila;OK;380220;15805
Potenza;Cagliari;OK;973813;192388
Potenza;Aosta;OK;1050074;39115
Potenza;Napoli;OK;174831;8270
Potenza;Bologna;OK;653590;25233
Campobasso;Roma;OK;225518;10131
Campobasso;Firenze;OK;476665;17754
Campobasso;Milano;OK;740287;26048
Campobasso;Torino;OK;859323;31025
