from;to;status;distance;time
Roma;Firenze;OK;275123;9519
Roma;Milano;OK;575799;18913
Roma;Torino;OK;694834;23893
Roma;Trento;OK;588430;19218
Roma;Venezia;OK;531445;17572
Roma;Trieste;OK;686211;22515
Roma;Genova;OK;509479;17968
Roma;Palermo;OK;542568;38078
Roma;Catanzaro;OK;607019;23004
Roma;Potenza;OK;373421;14151
Roma;Campobasso;OK;223838;9630
Roma;Perugia;OK;173274;7382
Roma;Bari;OK;421636;16278
Roma;Ancona;OK;310011;10591
Roma;L'Aquila;OK;116811;3888
Roma;Cagliari;OK;520941;14561
Roma;Aosta;OK;760422;26302
Roma;Napoli;OK;219089;7356
Roma;Bologna;OK;379379;13163
Firenze;Roma;OK;274869;9550
Firenze;Milano;OK;304025;10120
Firenze;Torino;OK;423059;15099
Firenze;Trento;OK;316656;10425
Firenze;Venezia;OK;259670;8779
Firenze;Trieste;OK;414436;13721
Firenze;Genova;OK;237705;9175
Firenze;Palermo;OK;795547;45877
Firenze;Catanzaro;OK;859999;30802
Firenze;Potenza;OK;626400;21950
Firenze;Campobasso;OK;476817;17428
Firenze;Perugia;OK;153139;5503
Firenze;Bari;OK;674616;24076
Firenze;Ancona;OK;286262;11881
Firenze;L'Aquila;OK;363654;11537
Firenze;Cagliari;OK;713696;21151
Firenze;Aosta;OK;488647;17509
Firenze;Napoli;OK;472069;15154
Firenze;Bologna;OK;107605;4370
Milano;Roma;OK;575653;19195
Milano;Firenze;OK;306581;10667
Milano;Torino;OK;141059;6351
Milano;Trento;OK;241819;8547
Milano;Venezia;OK;270117;9612
Milano;Trieste;OK;424883;14555
Milano;Genova;OK;147111;5462
Milano;Palermo;OK;1096332;55522
Milano;Catanzaro;OK;1160783;40448
Milano;Potenza;OK;865972;31539
Milano;Campobasso;OK;743544;26648
Milano;Perugia;OK;453923;15149
Milano;Bari;OK;879429;30914
Milano;Ancona;OK;426662;16386
Milano;L'Aquila;OK;664438;21183
Milano;Cagliari;OK;1014481;30797
Milano;Aosta;OK;184273;7988
Milano;Napoli;OK;772853;24800
Milano;Bologna;OK;213042;6917
Torino;Roma;OK;694571;24043
Torino;Firenze;OK;425498;15514
Torino;Milano;OK;140766;6352
Torino;Trento;OK;373877;13684
Torino;Venezia;OK;402175;14749
Torino;Trieste;OK;556941;19692
Torino;Genova;OK;170573;7562
Torino;Palermo;OK;1215249;60370
Torino;Catanzaro;OK;1279701;45295
Torino;Potenza;OK;984889;36386
Torino;Campobasso;OK;862461;31495
Torino;Perugia;OK;572841;19996
Torino;Bari;OK;998346;35761
Torino;Ancona;OK;545580;21234
Torino;L'Aquila;OK;783356;26030
Torino;Cagliari;OK;1133398;35644
Torino;Aosta;OK;114118;5129
Torino;Napoli;OK;891770;29647
Torino;Bologna;OK;331960;11765
Trento;Roma;OK;588253;19405
Trento;Firenze;OK;319181;10877
Trento;Milano;OK;223228;8190
Trento;Torino;OK;355466;13401
Trento;Venezia;OK;213182;6933
Trento;Trieste;OK;367947;11876
Trento;Genova;OK;356541;12665
Trento;Palermo;OK;1108932;55732
Trento;Catanzaro;OK;1173383;40658
Trento;Potenza;OK;878572;31749
