from;to;status;distance;time
Agrigento;Alessandria;OK;1559667;62782
Agrigento;Ancona;OK;1125830;51630
Agrigento;Andria;OK;766043;38753
Agrigento;Aosta;OK;1707920;68420
Agrigento;Arezzo;OK;1166740;49986
Agrigento;Ascoli Piceno;OK;1073420;48658
Agrigento;Asti;OK;1595335;64010
Agrigento;Avellino;OK;746598;36423
Agrigento;Bari;OK;721203;36922
Agrigento;Barletta;OK;771528;38884
Agrigento;Belluno;OK;1569945;62376
Agrigento;Benevento;OK;782389;37848
Agrigento;Bergamo;OK;1550666;62493
Agrigento;Biella;OK;1625430;65300
Agrigento;Bologna;OK;1326878;55281
Agrigento;Bolzano - Bozen;OK;1591976;63534
Agrigento;Brescia;OK;1506398;60719
Agrigento;Brindisi;OK;721158;36974
Agrigento;Cagliari;OK;547144;50715
Agrigento;Caltanissetta;OK;58150;3561
Agrigento;Campobasso;OK;846060;41387
Agrigento;Carbonia;OK;625234;54363
Agrigento;Caserta;OK;785845;38075
Agrigento;Catania;OK;177893;8757
Agrigento;Catanzaro;OK;432935;23954
Agrigento;Chieti;OK;971078;46683
Agrigento;Como;OK;1575481;62799
Agrigento;Cosenza;OK;461186;25083
Agrigento;Cremona;OK;1491526;60251
Agrigento;Crotone;OK;499751;27666
Agrigento;Cuneo;OK;1597087;65685
Agrigento;Enna;OK;100423;5969
Agrigento;Fermo;OK;1072908;49638
Agrigento;Ferrara;OK;1371709;56704
Agrigento;Firenze;OK;1222564;51628
Agrigento;Foggia;OK;781965;39784
Agrigento;Forlì;OK;1299721;56277
Agrigento;Frosinone;OK;895418;41076
Agrigento;Genova;OK;1456978;60086
Agrigento;Gorizia;OK;1604382;64224
Agrigento;Grosseto;OK;1151574;51039
Agrigento;Iglesias;OK;602541;53321
Agrigento;Imperia;OK;1573594;64667
Agrigento;Isernia;OK;858530;41008
Agrigento;L'Aquila;OK;981642;45078
Agrigento;La Spezia;OK;1370606;56552
Agrigento;Lanusei;OK;1373755;51216
Agrigento;Latina;OK;942093;43696
Agrigento;Lecce;OK;757311;38410
Agrigento;Lecco;OK;1575062;63027
Agrigento;Livorno;OK;1311956;55309
Agrigento;Lodi;OK;1498938;60237
Agrigento;Macerata;OK;1109321;51226
Agrigento;Mantova;OK;1421618;58034
Agrigento;Massa;OK;1342578;55479
Agrigento;Matera;OK;655743;34664
Agrigento;Messina;OK;273900;12608
Agrigento;Milano;OK;1523298;61031
Agrigento;Modena;OK;1355382;56457
Agrigento;Monza;OK;1535486;61429
Agrigento;Napoli;OK;770138;37402
Agrigento;Novara;OK;1576852;63541
Agrigento;Nuoro;OK;1446422;54891
Agrigento;Olbia;OK;1514478;57928
Agrigento;Oristano;OK;639241;54382
Agrigento;Padova;OK;1442641;58761
Agrigento;Palermo;OK;128778;7303
Agrigento;Parma;OK;1408025;58137
Agrigento;Pavia;OK;1512172;61383
Agrigento;Perugia;OK;1120773;49500
Agrigento;Pesaro;OK;1189068;54067
Agrigento;Piacenza;OK;1462499;59165
Agrigento;Pisa;OK;1303076;54836
Agrigento;Pistoia;OK;1261417;52725
Agrigento;Pordenone;OK;1551403;61624
Agrigento;Potenza;OK;675817;34284
Agrigento;Prato;OK;1244819;52343
Agrigento;Ragusa;OK;134389;7934
Agrigento;Ravenna;OK;1314064;56792
Agrigento;Reggio di Calabria;OK;298331;18280
Agrigento;Rieti;OK;1041485;46552
Agrigento;Rimini;OK;1219502;55104
Agrigento;Roma;OK;971797;44013
Agrigento;Rovigo;OK;1404589;57379
Agrigento;Salerno;OK;716186;35168
Agrigento;Sanluri;OK;593903;52855
Agrigento;Sassari;OK;759715;59444
Agrigento;Savona;OK;1498215;61688
Agrigento;Siena;OK;1196338;51148
Agrigento;Siracusa;OK;227825;10805
Agrigento;Sondrio;OK;1654620;66701
Agrigento;Taranto;OK;657465;34368
Agrigento;Tempio Pausania;OK;1555582;60133
Agrigento;Teramo;OK;1039286;46678
Agrigento;Terni;OK;1051831;46870
Agrigento;Torino;OK;1642332;66011
Agrigento;Tortolì;OK;1355709;50373
Agrigento;Trani;OK;758358;38378
Agrigento;Trapani;OK;184221;11023
Agrigento;Trento;OK;1535929;61336
Agrigento;Treviso;OK;1493821;60221
Agrigento;Trieste;OK;1633709;64632
Agrigento;Udine;OK;1593623;63515
Agrigento;Urbino;OK;1210636;54771
Agrigento;Varese;OK;1583527;63104
Agrigento;Venezia;OK;1478943;59690
Agrigento;Verbania;OK;1627876;65125
Agrigento;Vercelli;OK;1607908;64543
Agrigento;Verona;OK;1453947;59054
Agrigento;Vibo Valentia;OK;370331;21666
Agrigento;Vicenza;OK;1474929;59713
Agrigento;Villacidro;OK;592296;53090
Agrigento;Viterbo;OK;1056297;47240
Alessandria;Agrigento;OK;1543317;61625
Alessandria;Ancona;OK;465356;17847
Alessandria;Andria;OK;867504;30321
Alessandria;Aosta;OK;168506;7141
Alessandria;Arezzo;OK;416095;14044
Alessandria;Ascoli Piceno;OK;577861;20556
Alessandria;Asti;OK;44798;2145
Alessandria;Avellino;OK;837247;27325
Alessandria;Bari;OK;918123;32375
Alessandria;Barletta;OK;866758;30395
Alessandria;Belluno;OK;443355;14524
Alessandria;Benevento;OK;819891;27207
Alessandria;Bergamo;OK;148533;5583
Alessandria;Biella;OK;108490;4958
Alessandria;Bologna;OK;251736;8378
Alessandria;Bolzano - Bozen;OK;380103;12971
Alessandria;Brescia;OK;185483;6654
Alessandria;Brindisi;OK;1032330;36355
Alessandria;Cagliari;OK;1053174;32257
Alessandria;Caltanissetta;OK;1492848;58487
Alessandria;Campobasso;OK;782237;28109
Alessandria;Carbonia;OK;1119569;35027
Alessandria;Caserta;OK;785749;25529
Alessandria;Catania;OK;1383565;54136
Alessandria;Catanzaro;OK;1199477;41909
Alessandria;Chieti;OK;626836;22105
Alessandria;Como;OK;142585;5091
Alessandria;Cosenza;OK;1106489;38193
Alessandria;Cremona;OK;140176;5335
Alessandria;Crotone;OK;1184981;43151
Alessandria;Cuneo;OK;123902;6429
Alessandria;Enna;OK;1467484;57632
Alessandria;Fermo;OK;523149;18870
Alessandria;Ferrara;OK;293285;9654
Alessandria;Firenze;OK;345217;12119
Alessandria;Foggia;OK;797684;27448
Alessandria;Forlì;OK;322029;11639
Alessandria;Frosinone;OK;676556;22290
Alessandria;Genova;OK;86153;4177
Alessandria;Gorizia;OK;477793;16371
Alessandria;Grosseto;OK;387461;16555
Alessandria;Iglesias;OK;1096876;33986
Alessandria;Imperia;OK;178158;7528
Alessandria;Isernia;OK;767212;25838
Alessandria;L'Aquila;OK;703132;22644
Alessandria;La Spezia;OK;179488;7850
Alessandria;Lanusei;OK;931422;25900
Alessandria;Latina;OK;679145;23171
Alessandria;Lecce;OK;1067704;37756
Alessandria;Lecco;OK;155875;6058
Alessandria;Livorno;OK;255399;10995
Alessandria;Lodi;OK;120498;4787
Alessandria;Macerata;OK;525772;18751
Alessandria;Mantova;OK;199187;8549
Alessandria;Massa;OK;196639;8590
Alessandria;Matera;OK;942674;34461
Alessandria;Messina;OK;1287975;49997
Alessandria;Milano;OK;99418;3695
Alessandria;Modena;OK;216322;7299
Alessandria;Monza;OK;116299;4461
Alessandria;Napoli;OK;811547;26261
Alessandria;Novara;OK;72812;3425
Alessandria;Nuoro;OK;1004088;29575
Alessandria;Olbia;OK;1072145;32612
Alessandria;Oristano;OK;1085176;33073
Alessandria;Padova;OK;320122;10798
Alessandria;Palermo;OK;1135025;56983
Alessandria;Parma;OK;164405;5826
Alessandria;Pavia;OK;80751;3077
Alessandria;Perugia;OK;492617;16610
Alessandria;Pesaro;OK;400916;14146
Alessandria;Piacenza;OK;112680;4349
Alessandria;Pisa;OK;238173;10387
Alessandria;Pistoia;OK;275011;11122
Alessandria;Pordenone;OK;424814;13772
Alessandria;Potenza;OK;904666;33000
Alessandria;Prato;OK;336731;11598
Alessandria;Ragusa;OK;1489425;59474
Alessandria;Ravenna;OK;328380;11431
Alessandria;Reggio di Calabria;OK;1290167;45374
Alessandria;Rieti;OK;602907;20328
Alessandria;Rimini;OK;368305;12763
Alessandria;Roma;OK;613616;20600
Alessandria;Rovigo;OK;326165;10329
Alessandria;Salerno;OK;853513;27941
Alessandria;Sanluri;OK;1048836;31620
Alessandria;Sassari;OK;1115282;34929
Alessandria;Savona;OK;102778;4548
Alessandria;Siena;OK;404967;14487
