from;to;status;distance;time
L'Aquila;Catanzaro;OK;615313;24640
L'Aquila;Potenza;OK;378946;15465
L'Aquila;Palermo;OK;928235;41834
L'Aquila;Napoli;OK;226806;8969
L'Aquila;Campobasso;OK;191128;10508
L'Aquila;Trento;OK;623922;21693
L'Aquila;Genova;OK;597941;20186
L'Aquila;Bologna;OK;399398;14898
L'Aquila;Firenze;OK;363854;11729
L'Aquila;Venezia;OK;547511;19142
L'Aquila;Torino;OK;730325;26368
L'Aquila;Trieste;OK;702776;24499
L'Aquila;Bari;OK;392404;14840
L'Aquila;Cagliari;OK;724906;182105
L'Aquila;Roma;OK;118514;4196
L'Aquila;Milano;OK;611289;21391
L'Aquila;Ancona;OK;196621;7089
L'Aquila;Aosta;OK;795882;28781
L'Aquila;Perugia;OK;173579;8180
L'Aquila;Arezzo;OK;307704;10088
L'Aquila;Grosseto;OK;307361;11624
L'Aquila;Massa;OK;483545;15582
L'Aquila;Pistoia;OK;402834;12863
L'Aquila;Prato;OK;385782;12445
L'Aquila;Siena;OK;337301;11250
L'Aquila;Brescia;OK;594391;21292
L'Aquila;Como;OK;663473;23160
L'Aquila;Cremona;OK;579519;20609
L'Aquila;Lecco;OK;663054;23387
L'Aquila;Lodi;OK;586931;20594
L'Aquila;Mantova;OK;509611;18392
L'Aquila;Pavia;OK;600185;21742
L'Aquila;Sondrio;OK;742679;27140
L'Aquila;Varese;OK;671520;23465
L'Aquila;Monza;OK;623478;21789
L'Aquila;Alessandria;OK;647360;23162
L'Aquila;Asti;OK;683346;24369
L'Aquila;Biella;OK;713394;25658
L'Aquila;Cuneo;OK;738058;25787
L'Aquila;Novara;OK;664835;23901
L'Aquila;Verbania;OK;715873;25485
L'Aquila;Vercelli;OK;695896;24903
L'Aquila;Bolzano - Bozen;OK;679968;23892
L'Aquila;Belluno;OK;639041;21874
L'Aquila;Rovigo;OK;473699;16878
L'Aquila;Treviso;OK;562917;19719
L'Aquila;Verona;OK;541946;19377
L'Aquila;Vicenza;OK;544023;19213
L'Aquila;Gorizia;OK;673492;24059
L'Aquila;Pordenone;OK;620499;21396
L'Aquila;Udine;OK;663042;23454
L'Aquila;Imperia;OK;714558;24769
L'Aquila;La Spezia;OK;511570;16654
L'Aquila;Savona;OK;639186;21790
L'Aquila;Agrigento;OK;959151;44356
L'Aquila;Caltanissetta;OK;908682;41219
L'Aquila;Catania;OK;799403;36868
L'Aquila;Enna;OK;883319;40363
L'Aquila;Messina;OK;703813;32728
L'Aquila;Ragusa;OK;905078;42205
L'Aquila;Trapani;OK;1031190;46021
L'Aquila;Reggio di Calabria;OK;706005;28105
L'Aquila;Cosenza;OK;522324;20924
L'Aquila;Crotone;OK;600816;25882
L'Aquila;Vibo Valentia;OK;616918;25208
L'Aquila;Matera;OK;416962;16935
L'Aquila;Isernia;OK;140788;7692
L'Aquila;Terni;OK;92450;5003
L'Aquila;Brindisi;OK;506610;18820
L'Aquila;Lecce;OK;541984;20222
L'Aquila;Taranto;OK;476387;18456
L'Aquila;Andria;OK;341784;12787
L'Aquila;Trani;OK;352029;13270
L'Aquila;Avellino;OK;252517;10092
L'Aquila;Benevento;OK;235150;9915
L'Aquila;Caserta;OK;201008;8238
L'Aquila;Salerno;OK;268773;10649
L'Aquila;Forlì;OK;343103;12816
L'Aquila;Modena;OK;443381;16815
L'Aquila;Parma;OK;496018;18494
L'Aquila;Ravenna;OK;348580;12917
L'Aquila;Rimini;OK;290281;10563
L'Aquila;Ascoli Piceno;OK;95199;3967
L'Aquila;Macerata;OK;180115;6686
L'Aquila;Urbino;OK;286129;10601
L'Aquila;Fermo;OK;143699;5098
L'Aquila;Chieti;OK;87432;4269
L'Aquila;Teramo;OK;61065;1987
L'Aquila;Frosinone;OK;125274;5110
L'Aquila;Latina;OK;173877;6662
L'Aquila;Rieti;OK;58520;3230
L'Aquila;Viterbo;OK;197260;7342
L'Aquila;Nuoro;OK;554400;175124
L'Aquila;Sassari;OK;551451;176219
L'Aquila;Carbonia;OK;755202;184060
L'Aquila;Iglesias;OK;728230;183059
L'Aquila;Sanluri;OK;680878;180050
L'Aquila;Villacidro;OK;697792;181319
L'Aquila;Lanusei;OK;614163;178342
L'Aquila;Tortolì;OK;612070;178270
L'Aquila;Olbia;OK;452607;170854
L'Aquila;Tempio Pausania;OK;494769;173067
L'Aquila;Ferrara;OK;440802;16202
L'Aquila;Pesaro;OK;259848;9526
L'Aquila;Padova;OK;511732;18259
L'Aquila;Barletta;OK;341036;12861
L'Aquila;Foggia;OK;271965;9913
L'Aquila;Oristano;OK;633729;178525
L'Aquila;Pisa;OK;444039;14938
L'Aquila;Livorno;OK;452919;15411
L'Aquila;Nice;OK;763294;26954
L'Aquila;Siracusa;OK;864329;39351
L'Aquila;Piacenza;OK;550492;19519
L'Aquila;Bergamo;OK;655713;22912
Catanzaro;L'Aquila;OK;616678;24291
Catanzaro;Potenza;OK;310885;13503
Catanzaro;Palermo;OK;381849;20769
Catanzaro;Napoli;OK;405205;16620
Catanzaro;Campobasso;OK;481127;20605
Catanzaro;Trento;OK;1170920;41032
Catanzaro;Genova;OK;1092045;39302
Catanzaro;Bologna;OK;961869;34879
Catanzaro;Firenze;OK;857958;30846
Catanzaro;Venezia;OK;1113408;39242
Catanzaro;Torino;OK;1277323;45707
Catanzaro;Trieste;OK;1268673;44599
Catanzaro;Bari;OK;356134;16134
Catanzaro;Cagliari;OK;1204186;200738
Catanzaro;Roma;OK;606865;23232
Catanzaro;Milano;OK;1158287;40730
Catanzaro;Ancona;OK;760898;30848
Catanzaro;Aosta;OK;1342880;48120
Catanzaro;Perugia;OK;755839;28718
Catanzaro;Arezzo;OK;801808;29205
Catanzaro;Grosseto;OK;786642;30257
Catanzaro;Massa;OK;977649;34698
Catanzaro;Pistoia;OK;896938;31980
Catanzaro;Prato;OK;879886;31561
Catanzaro;Siena;OK;831405;30367
Catanzaro;Brescia;OK;1141389;40631
Catanzaro;Como;OK;1210471;42498
Catanzaro;Cremona;OK;1126517;39947
Catanzaro;Lecco;OK;1210053;42726
Catanzaro;Lodi;OK;1133929;39933
Catanzaro;Mantova;OK;1056609;37731
Catanzaro;Pavia;OK;1147183;41080
Catanzaro;Sondrio;OK;1289677;46479
Catanzaro;Varese;OK;1218518;42803
Catanzaro;Monza;OK;1170476;41128
Catanzaro;Alessandria;OK;1194359;42501
Catanzaro;Asti;OK;1230345;43708
Catanzaro;Biella;OK;1260392;44997
Catanzaro;Cuneo;OK;1232162;44903
Catanzaro;Novara;OK;1211833;43240
Catanzaro;Verbania;OK;1262871;44824
Catanzaro;Vercelli;OK;1242894;44242
Catanzaro;Bolzano - Bozen;OK;1226967;43231
Catanzaro;Belluno;OK;1204938;41974
Catanzaro;Rovigo;OK;1039596;36979
Catanzaro;Treviso;OK;1128814;39820
Catanzaro;Verona;OK;1088944;38716
Catanzaro;Vicenza;OK;1109920;39313
Catanzaro;Gorizia;OK;1239389;44159
Catanzaro;Pordenone;OK;1186397;41497
Catanzaro;Udine;OK;1228939;43554
Catanzaro;Imperia;OK;1208662;43886
Catanzaro;La Spezia;OK;1005673;35770
Catanzaro;Savona;OK;1133290;40907
Catanzaro;Agrigento;OK;412764;23291
Catanzaro;Caltanissetta;OK;362296;20153
Catanzaro;Catania;OK;253017;15802
Catanzaro;Enna;OK;336933;19298
Catanzaro;Messina;OK;157427;11662
Catanzaro;Ragusa;OK;358692;21140
Catanzaro;Trapani;OK;484803;24955
Catanzaro;Reggio di Calabria;OK;159619;7039
Catanzaro;Cosenza;OK;96182;4298
Catanzaro;Crotone;OK;71233;4174
Catanzaro;Vibo Valentia;OK;69008;3704
Catanzaro;Matera;OK;290717;13893
Catanzaro;Isernia;OK;493598;20326
Catanzaro;Terni;OK;686899;26088
Catanzaro;Brindisi;OK;356155;16203
Catanzaro;Lecce;OK;392307;17639
Catanzaro;Taranto;OK;292462;13583
Catanzaro;Andria;OK;400974;17964
Catanzaro;Trani;OK;393290;17590
Catanzaro;Avellino;OK;381665;15641
Catanzaro;Benevento;OK;417456;17066
Catanzaro;Caserta;OK;420912;17293
Catanzaro;Salerno;OK;351253;14386
Catanzaro;Forlì;OK;934788;35495
Catanzaro;Modena;OK;990379;36154
Catanzaro;Parma;OK;1043016;37833
Catanzaro;Ravenna;OK;949131;35972
Catanzaro;Rimini;OK;854558;34321
Catanzaro;Ascoli Piceno;OK;708488;27873
Catanzaro;Macerata;OK;744392;30445
Catanzaro;Urbino;OK;845698;34002
Catanzaro;Fermo;OK;707976;28857
Catanzaro;Chieti;OK;614600;25991
Catanzaro;Teramo;OK;674355;25893
Catanzaro;Frosinone;OK;530485;20294
Catanzaro;Latina;OK;577160;22917
Catanzaro;Rieti;OK;676552;25764
Catanzaro;Viterbo;OK;691364;26458
Catanzaro;Nuoro;OK;1033680;193757
Catanzaro;Sassari;OK;1030732;194852
Catanzaro;Carbonia;OK;1234482;202694
Catanzaro;Iglesias;OK;1207511;201692
Catanzaro;Sanluri;OK;1160159;198683
Catanzaro;Villacidro;OK;1177073;199952
Catanzaro;Lanusei;OK;1093444;196975
Catanzaro;Tortolì;OK;1091351;196903
Catanzaro;Olbia;OK;931888;189487
Catanzaro;Tempio Pausania;OK;974049;191701
Catanzaro;Ferrara;OK;1006699;36303
Catanzaro;Pesaro;OK;824125;33285
Catanzaro;Padova;OK;1077630;38360
Catanzaro;Barletta;OK;406460;18095
Catanzaro;Foggia;OK;417033;19003
Catanzaro;Oristano;OK;1113010;197158
Catanzaro;Pisa;OK;938143;34055
Catanzaro;Livorno;OK;947023;34527
Catanzaro;Nice;OK;1257398;46070
Catanzaro;Siracusa;OK;317943;18285
Catanzaro;Piacenza;OK;1097490;38858
Catanzaro;Bergamo;OK;1202711;42250
Potenza;L'Aquila;OK;380220;15805
Potenza;Catanzaro;OK;313599;13745
Potenza;Palermo;OK;626522;30939
Potenza;Napoli;OK;174831;8270
Potenza;Campobasso;OK;193957;10250
Potenza;Trento;OK;878114;32028
Potenza;Genova;OK;861671;30952
Potenza;Bologna;OK;653590;25233
Potenza;Firenze;OK;627584;22496
Potenza;Venezia;OK;801703;29476
Potenza;Torino;OK;984517;36703
Potenza;Trieste;OK;956968;34834
Potenza;Bari;OK;127091;7305
Potenza;Cagliari;OK;973813;192388
Potenza;Roma;OK;376491;14881
Potenza;Milano;OK;865481;31726
Potenza;Ancona;OK;450813;17424
Potenza;Aosta;OK;1050074;39115
Potenza;Perugia;OK;525465;20368
Potenza;Arezzo;OK;571434;20854
Potenza;Grosseto;OK;556268;21907
Potenza;Massa;OK;747275;26348
Potenza;Pistoia;OK;666564;23629
Potenza;Prato;OK;649513;23211
Potenza;Siena;OK;601032;22016
Potenza;Brescia;OK;848583;31626
Potenza;Como;OK;917665;33494
Potenza;Cremona;OK;833711;30943
Potenza;Lecco;OK;917246;33721
Potenza;Lodi;OK;841123;30929
Potenza;Mantova;OK;763803;28726
Potenza;Pavia;OK;854377;32076
Potenza;Sondrio;OK;996871;37474
Potenza;Varese;OK;925712;33799
Potenza;Monza;OK;877670;32124
Potenza;Alessandria;OK;901553;33497
Potenza;Asti;OK;937539;34703
Potenza;Biella;OK;967586;35993
Potenza;Cuneo;OK;1001788;36553
Potenza;Novara;OK;919027;34236
Potenza;Verbania;OK;970065;35819
Potenza;Vercelli;OK;950088;35238
Potenza;Bolzano - Bozen;OK;934161;34226
Potenza;Belluno;OK;893233;32209
Potenza;Rovigo;OK;727891;27213
Potenza;Treviso;OK;817109;30054
Potenza;Verona;OK;796138;29712
Potenza;Vicenza;OK;798215;29547
Potenza;Gorizia;OK;927684;34393
Potenza;Pordenone;OK;874691;31731
Potenza;Udine;OK;917234;33788
Potenza;Imperia;OK;978288;35535
Potenza;La Spezia;OK;775300;27420
Potenza;Savona;OK;902916;32556
Potenza;Agrigento;OK;657437;33461
Potenza;Caltanissetta;OK;606968;30324
Potenza;Catania;OK;497689;25973
Potenza;Enna;OK;581605;29468
Potenza;Messina;OK;402099;21833
Potenza;Ragusa;OK;603364;31310
Potenza;Trapani;OK;729476;35126
Potenza;Reggio di Calabria;OK;404291;17210
Potenza;Cosenza;OK;220610;10029
Potenza;Crotone;OK;299102;14987
Potenza;Vibo Valentia;OK;315204;14313
Potenza;Matera;OK;98824;5049
Potenza;Isernia;OK;263224;11976
Potenza;Terni;OK;456525;17738
Potenza;Brindisi;OK;218606;10323
Potenza;Lecce;OK;254758;11758
Potenza;Taranto;OK;154913;7703
Potenza;Andria;OK;118119;6717
Potenza;Trani;OK;131552;7231
Potenza;Avellino;OK;151292;7291
Potenza;Benevento;OK;144021;8094
Potenza;Caserta;OK;190539;8943
Potenza;Salerno;OK;120880;6036
Potenza;Forlì;OK;597295;23151
Potenza;Modena;OK;697573;27150
Potenza;Parma;OK;750210;28829
Potenza;Ravenna;OK;602772;23251
Potenza;Rimini;OK;544473;20897
Potenza;Ascoli Piceno;OK;386117;15213
Potenza;Macerata;OK;434307;17021
Potenza;Urbino;OK;540321;20935
Potenza;Fermo;OK;397891;15432
Potenza;Chieti;OK;304515;12567
Potenza;Teramo;OK;354705;14276
Potenza;Frosinone;OK;300111;11944
Potenza;Latina;OK;346787;14567
Potenza;Rieti;OK;446179;17413
Potenza;Viterbo;OK;460991;18108
Potenza;Nuoro;OK;803307;185407
Potenza;Sassari;OK;800358;186501
Potenza;Carbonia;OK;1004108;194343
Potenza;Iglesias;OK;977137;193341
Potenza;Sanluri;OK;929785;190333
Potenza;Villacidro;OK;946699;191602
Potenza;Lanusei;OK;863070;188625
Potenza;Tortolì;OK;860977;188552
Potenza;Olbia;OK;701514;181136
