from,to,status,distance210913,time210913,distance030813,time030813,distDiff,timeDiff
Roma,Firenze,OK,275123,9519,275449,9518,-326,1
Roma,Milano,OK,575799,18913,575722,19394,77,-481
Roma,Torino,OK,694834,23893,694758,24371,76,-478
Roma,Trento,OK,588430,19218,588354,19696,76,-478
Roma,Venezia,OK,531445,17572,530843,17906,602,-334
Roma,Trieste,OK,686211,22515,686108,23263,103,-748
Roma,Genova,OK,509479,17968,509480,17966,-1,2
Roma,Palermo,OK,542568,38078,920518,40222,-377950,-2144
Roma,Catanzaro,OK,607019,23004,607596,23027,-577,-23
Roma,Potenza,OK,373421,14151,373422,14152,-1,-1
Roma,Campobasso,OK,223838,9630,223836,9686,2,-56
Roma,Perugia,OK,173274,7382,173273,7382,1,0
Roma,Bari,OK,421636,16278,422406,16328,-770,-50
Roma,Ancona,OK,310011,10591,310041,10593,-30,-2
Roma,L'Aquila,OK,116811,3888,116808,3888,3,0
Roma,Cagliari,OK,520941,14561,594552,178507,-73611,-163946
Roma,Aosta,OK,760422,26302,760314,26783,108,-481
Roma,Napoli,OK,219089,7356,219089,7356,0,0
Roma,Bologna,OK,379379,13163,379304,13543,75,-380
Firenze,Roma,OK,274869,9550,274869,9550,0,0
Firenze,Milano,OK,304025,10120,303947,10600,78,-480
Firenze,Torino,OK,423059,15099,422983,15578,76,-479
Firenze,Trento,OK,316656,10425,316580,10903,76,-478
Firenze,Venezia,OK,259670,8779,259068,9112,602,-333
Firenze,Trieste,OK,414436,13721,414333,14470,103,-749
Firenze,Genova,OK,237705,9175,237705,9173,0,2
Firenze,Palermo,OK,795547,45877,1173498,48020,-377951,-2143
Firenze,Catanzaro,OK,859999,30802,860576,30825,-577,-23
Firenze,Potenza,OK,626400,21950,626402,21950,-2,0
Firenze,Campobasso,OK,476817,17428,476816,17484,1,-56
Firenze,Perugia,OK,153139,5503,153139,5503,0,0
Firenze,Bari,OK,674616,24076,675386,24126,-770,-50
Firenze,Ancona,OK,286262,11881,286262,11881,0,0
Firenze,L'Aquila,OK,363654,11537,363652,11538,2,-1
Firenze,Cagliari,OK,713696,21151,787315,185098,-73619,-163947
Firenze,Aosta,OK,488647,17509,488540,17990,107,-481
Firenze,Napoli,OK,472069,15154,472069,15154,0,0
Firenze,Bologna,OK,107605,4370,107529,4750,76,-380
Milano,Roma,OK,575653,19195,575601,19193,52,2
Milano,Firenze,OK,306581,10667,306528,10665,53,2
Milano,Torino,OK,141059,6351,141059,6351,0,0
Milano,Trento,OK,241819,8547,241823,8927,-4,-380
Milano,Venezia,OK,270117,9612,269593,9993,524,-381
Milano,Trieste,OK,424883,14555,424858,15351,25,-796
Milano,Genova,OK,147111,5462,147111,5460,0,2
Milano,Palermo,OK,1096332,55522,1474230,57663,-377898,-2141
Milano,Catanzaro,OK,1160783,40448,1161308,40469,-525,-21
Milano,Potenza,OK,865972,31539,865949,31553,23,-14
Milano,Campobasso,OK,743544,26648,743520,26661,24,-13
Milano,Perugia,OK,453923,15149,453871,15147,52,2
Milano,Bari,OK,879429,30914,879406,30927,23,-13
Milano,Ancona,OK,426662,16386,426668,16401,-6,-15
Milano,L'Aquila,OK,664438,21183,664384,21181,54,2
Milano,Cagliari,OK,1014481,30797,1088047,194742,-73566,-163945
Milano,Aosta,OK,184273,7988,184243,7989,30,-1
Milano,Napoli,OK,772853,24800,772800,24798,53,2
Milano,Bologna,OK,213042,6917,213043,6917,-1,0
Torino,Roma,OK,694571,24043,694518,24040,53,3
Torino,Firenze,OK,425498,15514,425445,15512,53,2
Torino,Milano,OK,140766,6352,140765,6352,1,0
Torino,Trento,OK,373877,13684,373878,14063,-1,-379
Torino,Venezia,OK,402175,14749,401648,15130,527,-381
Torino,Trieste,OK,556941,19692,556913,20487,28,-795
Torino,Genova,OK,170573,7562,170573,7562,0,0
Torino,Palermo,OK,1215249,60370,1593147,62510,-377898,-2140
Torino,Catanzaro,OK,1279701,45295,1280225,45316,-524,-21
Torino,Potenza,OK,984889,36386,984866,36400,23,-14
Torino,Campobasso,OK,862461,31495,862437,31508,24,-13
Torino,Perugia,OK,572841,19996,572788,19994,53,2
Torino,Bari,OK,998346,35761,998323,35775,23,-14
Torino,Ancona,OK,545580,21234,545586,21249,-6,-15
Torino,L'Aquila,OK,783356,26030,783301,26028,55,2
Torino,Cagliari,OK,1133398,35644,1206964,199589,-73566,-163945
Torino,Aosta,OK,114118,5129,114118,5129,0,0
Torino,Napoli,OK,891770,29647,891718,29645,52,2
Torino,Bologna,OK,331960,11765,331960,11765,0,0
Trento,Roma,OK,588253,19405,588201,19406,52,-1
Trento,Firenze,OK,319181,10877,319128,10878,53,-1
Trento,Milano,OK,223228,8190,223234,8378,-6,-188
Trento,Torino,OK,355466,13401,355473,13589,-7,-188
Trento,Venezia,OK,213182,6933,212656,6852,526,81
Trento,Trieste,OK,367947,11876,367921,12209,26,-333
Trento,Genova,OK,356541,12665,356548,12915,-7,-250
Trento,Palermo,OK,1108932,55732,1486830,57876,-377898,-2144
Trento,Catanzaro,OK,1173383,40658,1173908,40682,-525,-24
Trento,Potenza,OK,878572,31749,878549,31766,23,-17
Trento,Campobasso,OK,756144,26858,756120,26874,24,-16
Trento,Perugia,OK,466523,15359,466471,15360,52,-1
Trento,Bari,OK,892029,31124,892006,31140,23,-16
Trento,Ancona,OK,439262,16596,439268,16614,-6,-18
Trento,L'Aquila,OK,677038,21393,676984,21394,54,-1
Trento,Cagliari,OK,1027081,31007,1100647,194955,-73566,-163948
Trento,Aosta,OK,398680,15038,398656,15227,24,-189
Trento,Napoli,OK,785453,25010,785401,25011,52,-1
