from,to,status,distance210913,time210913,distance030813,time030813,distDiff,timeDiff
Agrigento,Alessandria,OK,1559667,62782,1559362,63285,305,-503
Agrigento,Ancona,OK,1125830,51630,1125902,51633,-72,-3
Agrigento,Andria,OK,766043,38753,765978,38749,65,4
Agrigento,Aosta,OK,1707920,68420,1707884,68904,36,-484
Agrigento,Arezzo,OK,1166740,49986,1166812,49989,-72,-3
Agrigento,Ascoli Piceno,OK,1073420,48658,1073492,48658,-72,0
Agrigento,Asti,OK,1595335,64010,1595348,64492,-13,-482
Agrigento,Avellino,OK,746598,36423,746669,36426,-71,-3
Agrigento,Bari,OK,721203,36922,721138,36918,65,4
Agrigento,Barletta,OK,771528,38884,771463,38880,65,4
Agrigento,Belluno,OK,1569945,62376,1569942,62759,3,-383
Agrigento,Benevento,OK,782389,37848,782460,37851,-71,-3
Agrigento,Bergamo,OK,1550666,62493,1567715,63035,-17049,-542
Agrigento,Biella,OK,1625430,65300,1625396,65781,34,-481
Agrigento,Bologna,OK,1326878,55281,1326873,55664,5,-383
Agrigento,Bolzano - Bozen,OK,1591976,63534,1591970,64015,6,-481
Agrigento,Brescia,OK,1506398,60719,1506393,61415,5,-696
Agrigento,Brindisi,OK,721158,36974,721158,36988,0,-14
Agrigento,Cagliari,OK,547144,50715,1569190,221523,-1022046,-170808
Agrigento,Caltanissetta,OK,58150,3561,58150,3561,0,0
Agrigento,Campobasso,OK,846060,41387,846130,41389,-70,-2
Agrigento,Carbonia,OK,625234,54363,1599486,223478,-974252,-169115
Agrigento,Caserta,OK,785845,38075,785916,38078,-71,-3
Agrigento,Catania,OK,177893,8757,177894,8757,-1,0
Agrigento,Catanzaro,OK,432935,23954,432936,23954,-1,0
Agrigento,Chieti,OK,971078,46683,979604,46776,-8526,-93
Agrigento,Como,OK,1575481,62799,1575475,63283,6,-484
Agrigento,Cosenza,OK,461186,25083,461186,25083,0,0
Agrigento,Cremona,OK,1491526,60251,1491520,60732,6,-481
Agrigento,Crotone,OK,499751,27666,499752,27666,-1,0
Agrigento,Cuneo,OK,1597087,65685,1597165,65688,-78,-3
Agrigento,Enna,OK,100423,5969,100424,5969,-1,0
Agrigento,Fermo,OK,1072908,49638,1072980,49641,-72,-3
Agrigento,Ferrara,OK,1371709,56704,1371703,57087,6,-383
Agrigento,Firenze,OK,1222564,51628,1222961,51631,-397,-3
Agrigento,Foggia,OK,781965,39784,782037,39787,-72,-3
Agrigento,Forlì,OK,1299721,56277,1299792,56280,-71,-3
Agrigento,Frosinone,OK,895418,41076,895488,41079,-70,-3
Agrigento,Genova,OK,1456978,60086,1457049,60087,-71,-1
Agrigento,Gorizia,OK,1604382,64224,1604393,64944,-11,-720
Agrigento,Grosseto,OK,1151574,51039,1151645,51042,-71,-3
Agrigento,Iglesias,OK,602541,53321,1572515,222476,-969974,-169155
Agrigento,Imperia,OK,1573594,64667,1573666,64670,-72,-3
Agrigento,Isernia,OK,858530,41008,858601,41111,-71,-103
Agrigento,L'Aquila,OK,981642,45078,981682,45076,-40,2
Agrigento,La Spezia,OK,1370606,56552,1370677,56555,-71,-3
Agrigento,Lanusei,OK,1373755,51216,1458447,217760,-84692,-166544
Agrigento,Latina,OK,942093,43696,942164,43702,-71,-6
Agrigento,Lecce,OK,757311,38410,757311,38424,0,-14
Agrigento,Lecco,OK,1575062,63027,1575056,63510,6,-483
Agrigento,Livorno,OK,1311956,55309,1312027,55312,-71,-3
Agrigento,Lodi,OK,1498938,60237,1498932,60718,6,-481
Agrigento,Macerata,OK,1109321,51226,1109396,51229,-75,-3
Agrigento,Mantova,OK,1421618,58034,1421613,58515,5,-481
Agrigento,Massa,OK,1342578,55479,1342652,55483,-74,-4
Agrigento,Matera,OK,655743,34664,655721,34677,22,-13
Agrigento,Messina,OK,273900,12608,271587,12607,2313,1
Agrigento,Milano,OK,1523298,61031,1523291,61514,7,-483
Agrigento,Modena,OK,1355382,56457,1355382,56939,0,-482
Agrigento,Monza,OK,1535486,61429,1535480,61913,6,-484
Agrigento,Napoli,OK,770138,37402,770209,37405,-71,-3
Agrigento,Novara,OK,1576852,63541,1576837,64025,15,-484
Agrigento,Nuoro,OK,1446422,54891,1398684,214542,47738,-159651
Agrigento,Olbia,OK,1514478,57928,1296891,210271,217587,-152343
Agrigento,Oristano,OK,639241,54382,1478013,217942,-838772,-163560
Agrigento,Padova,OK,1442641,58761,1442633,59144,8,-383
Agrigento,Palermo,OK,128778,7303,128778,7303,0,0
Agrigento,Parma,OK,1408025,58137,1408020,58617,5,-480
Agrigento,Pavia,OK,1512172,61383,1512186,61865,-14,-482
Agrigento,Perugia,OK,1120773,49500,1120843,49503,-70,-3
Agrigento,Pesaro,OK,1189068,54067,1189129,54070,-61,-3
Agrigento,Piacenza,OK,1462499,59165,1462494,59642,5,-477
Agrigento,Pisa,OK,1303076,54836,1303147,54839,-71,-3
Agrigento,Pistoia,OK,1261417,52725,1261941,52764,-524,-39
Agrigento,Pordenone,OK,1551403,61624,1551401,62281,2,-657
Agrigento,Potenza,OK,675817,34284,675889,34287,-72,-3
Agrigento,Prato,OK,1244819,52343,1244890,52346,-71,-3
Agrigento,Ragusa,OK,134389,7934,134235,7946,154,-12
Agrigento,Ravenna,OK,1314064,56792,1314135,56757,-71,35
Agrigento,Reggio di Calabria,OK,298331,18280,298333,18280,-2,0
Agrigento,Rieti,OK,1041485,46552,1041556,46548,-71,4
Agrigento,Rimini,OK,1219502,55104,1219562,55106,-60,-2
Agrigento,Roma,OK,971797,44013,971868,44016,-71,-3
Agrigento,Rovigo,OK,1404589,57379,1404600,57763,-11,-384
Agrigento,Salerno,OK,716186,35168,716257,35171,-71,-3
Agrigento,Sanluri,OK,593903,52855,1525162,219468,-931259,-166613
Agrigento,Sassari,OK,759715,59444,1395736,215636,-636021,-156192
Agrigento,Savona,OK,1498215,61688,1498294,61691,-79,-3
Agrigento,Siena,OK,1196338,51148,1196409,51151,-71,-3
Agrigento,Siracusa,OK,227825,10805,227827,10805,-2,0
Agrigento,Sondrio,OK,1654620,66701,1654681,67263,-61,-562
Agrigento,Taranto,OK,657465,34368,657465,34368,0,0
Agrigento,Tempio Pausania,OK,1555582,60133,1339053,212485,216529,-152352
Agrigento,Teramo,OK,1039286,46678,1039358,46678,-72,0
Agrigento,Terni,OK,1051831,46870,1051903,46873,-72,-3
Agrigento,Torino,OK,1642332,66011,1642327,66492,5,-481
Agrigento,Tortolì,OK,1355709,50373,1456355,217687,-100646,-167314
Agrigento,Trani,OK,758358,38378,758293,38374,65,4
Agrigento,Trapani,OK,184221,11023,184221,11022,0,1
Agrigento,Trento,OK,1535929,61336,1535924,61817,5,-481
Agrigento,Treviso,OK,1493821,60221,1493818,60604,3,-383
Agrigento,Trieste,OK,1633709,64632,1633677,65384,32,-752
Agrigento,Udine,OK,1593623,63515,1593943,64338,-320,-823
Agrigento,Urbino,OK,1210636,54771,1210701,54786,-65,-15
Agrigento,Varese,OK,1583527,63104,1583521,63588,6,-484
Agrigento,Venezia,OK,1478943,59690,1478412,60026,531,-336
Agrigento,Verbania,OK,1627876,65125,1627875,65608,1,-483
Agrigento,Vercelli,OK,1607908,64543,1607897,65027,11,-484
Agrigento,Verona,OK,1453947,59054,1453948,59501,-1,-447
Agrigento,Vibo Valentia,OK,370331,21666,370332,21666,-1,0
Agrigento,Vicenza,OK,1474929,59713,1474924,60098,5,-385
Agrigento,Villacidro,OK,592296,53090,1542077,220737,-949781,-167647
Agrigento,Viterbo,OK,1056297,47240,1056368,47243,-71,-3
Alessandria,Agrigento,OK,1543317,61625,1543839,61646,-522,-21
Alessandria,Ancona,OK,465356,17847,465362,17862,-6,-15
Alessandria,Andria,OK,867504,30321,867481,30335,23,-14
Alessandria,Aosta,OK,168506,7141,168475,7141,31,0
Alessandria,Arezzo,OK,416095,14044,416043,14042,52,2
Alessandria,Ascoli Piceno,OK,577861,20556,577838,20570,23,-14
Alessandria,Asti,OK,44798,2145,44816,2146,-18,-1
Alessandria,Avellino,OK,837247,27325,837206,27382,41,-57
Alessandria,Bari,OK,918123,32375,918100,32388,23,-13
Alessandria,Barletta,OK,866758,30395,866732,30409,26,-14
Alessandria,Belluno,OK,443355,14524,443358,15293,-3,-769
Alessandria,Benevento,OK,819891,27207,819839,27205,52,2
Alessandria,Bergamo,OK,148533,5583,148535,5583,-2,0
Alessandria,Biella,OK,108490,4958,108463,4956,27,2
Alessandria,Bologna,OK,251736,8378,251737,8378,-1,0
Alessandria,Bolzano - Bozen,OK,380103,12971,380105,13693,-2,-722
Alessandria,Brescia,OK,185483,6654,185483,6997,0,-343
Alessandria,Brindisi,OK,1032330,36355,1032307,36368,23,-13
Alessandria,Cagliari,OK,1053174,32257,1126740,196203,-73566,-163946
Alessandria,Caltanissetta,OK,1492848,58487,1493370,58508,-522,-21
Alessandria,Campobasso,OK,782237,28109,782214,28122,23,-13
Alessandria,Carbonia,OK,1119569,35027,1157036,198158,-37467,-163131
Alessandria,Caserta,OK,785749,25529,785697,25527,52,2
Alessandria,Catania,OK,1383565,54136,1384091,54157,-526,-21
Alessandria,Catanzaro,OK,1199477,41909,1200001,41930,-524,-21
Alessandria,Chieti,OK,626836,22105,626552,22107,284,-2
Alessandria,Como,OK,142585,5091,142585,5091,0,0
Alessandria,Cosenza,OK,1106489,38193,1107012,38214,-523,-21
Alessandria,Cremona,OK,140176,5335,140176,5335,0,0
Alessandria,Crotone,OK,1184981,43151,1185504,43171,-523,-20
Alessandria,Cuneo,OK,123902,6429,123766,6415,136,14
Alessandria,Enna,OK,1467484,57632,1468007,57653,-523,-21
Alessandria,Fermo,OK,523149,18870,523125,18884,24,-14
Alessandria,Ferrara,OK,293285,9654,293285,9654,0,0
Alessandria,Firenze,OK,345217,12119,345165,12117,52,2
Alessandria,Foggia,OK,797684,27448,797661,27462,23,-14
Alessandria,Forlì,OK,322029,11639,322020,11638,9,1
Alessandria,Frosinone,OK,676556,22290,676504,22287,52,3
Alessandria,Genova,OK,86153,4177,86147,4206,6,-29
Alessandria,Gorizia,OK,477793,16371,477809,17478,-16,-1107
Alessandria,Grosseto,OK,387461,16555,387455,16585,6,-30
Alessandria,Iglesias,OK,1096876,33986,1130065,197156,-33189,-163170
Alessandria,Imperia,OK,178158,7528,178158,7528,0,0
Alessandria,Isernia,OK,767212,25838,767159,25891,53,-53
Alessandria,L'Aquila,OK,703132,22644,703077,22642,55,2
Alessandria,La Spezia,OK,179488,7850,179482,7881,6,-31
Alessandria,Lanusei,OK,931422,25900,1015998,192440,-84576,-166540
Alessandria,Latina,OK,679145,23171,679093,23150,52,21
Alessandria,Lecce,OK,1067704,37756,1067680,37770,24,-14
Alessandria,Lecco,OK,155875,6058,155876,6058,-1,0
Alessandria,Livorno,OK,255399,10995,255394,11026,5,-31
Alessandria,Lodi,OK,120498,4787,120498,4786,0,1
Alessandria,Macerata,OK,525772,18751,525751,18765,21,-14
Alessandria,Mantova,OK,199187,8549,199187,8549,0,0
Alessandria,Massa,OK,196639,8590,196637,8621,2,-31
Alessandria,Matera,OK,942674,34461,942658,34484,16,-23
Alessandria,Messina,OK,1287975,49997,1288502,50017,-527,-20
Alessandria,Milano,OK,99418,3695,99418,3695,0,0
Alessandria,Modena,OK,216322,7299,216322,7299,0,0
Alessandria,Monza,OK,116299,4461,116300,4461,-1,0
Alessandria,Napoli,OK,811547,26261,811494,26259,53,2
Alessandria,Novara,OK,72812,3425,72812,3425,0,0
Alessandria,Nuoro,OK,1004088,29575,956234,189222,47854,-159647
Alessandria,Olbia,OK,1072145,32612,854442,184951,217703,-152339
Alessandria,Oristano,OK,1085176,33073,1035564,192622,49612,-159549
Alessandria,Padova,OK,320122,10798,320122,11568,0,-770
Alessandria,Palermo,OK,1135025,56983,1512924,59124,-377899,-2141
Alessandria,Parma,OK,164405,5826,164405,5826,0,0
Alessandria,Pavia,OK,80751,3077,80751,3077,0,0
Alessandria,Perugia,OK,492617,16610,492564,16607,53,3
Alessandria,Pesaro,OK,400916,14146,400916,14160,0,-14
Alessandria,Piacenza,OK,112680,4349,112680,4346,0,3
Alessandria,Pisa,OK,238173,10387,238168,10418,5,-31
Alessandria,Pistoia,OK,275011,11122,275459,11189,-448,-67
Alessandria,Pordenone,OK,424814,13772,424817,14816,-3,-1044
Alessandria,Potenza,OK,904666,33000,904643,33013,23,-13
Alessandria,Prato,OK,336731,11598,336679,11596,52,2
Alessandria,Ragusa,OK,1489425,59474,1489767,59495,-342,-21
Alessandria,Ravenna,OK,328380,11431,328379,11430,1,1
Alessandria,Reggio di Calabria,OK,1290167,45374,1290694,45395,-527,-21
Alessandria,Rieti,OK,602907,20328,602851,20326,56,2
Alessandria,Rimini,OK,368305,12763,368305,12777,0,-14
Alessandria,Roma,OK,613616,20600,613563,20598,53,2
Alessandria,Rovigo,OK,326165,10329,326181,10330,-16,-1
Alessandria,Salerno,OK,853513,27941,853461,27939,52,2
Alessandria,Sanluri,OK,1048836,31620,1082713,194148,-33877,-162528
Alessandria,Sassari,OK,1115282,34929,953286,190316,161996,-155387
