from;to;status;distance;time
L'Aquila;Catanzaro;OK;614930;24612
L'Aquila;Potenza;OK;394159;15516
L'Aquila;Palermo;OK;550478;39687
L'Aquila;Napoli;OK;226999;8964
L'Aquila;Campobasso;OK;227349;10571
L'Aquila;Trento;OK;677064;21432
L'Aquila;Genova;OK;598114;20182
L'Aquila;Bologna;OK;399450;14901
L'Aquila;Firenze;OK;363700;11724
L'Aquila;Venezia;OK;548089;19191
L'Aquila;Torino;OK;783468;26107
L'Aquila;Trieste;OK;702855;24133
L'Aquila;Bari;OK;407616;14891
L'Aquila;Cagliari;OK;651467;18170
L'Aquila;Roma;OK;118688;4207
L'Aquila;Milano;OK;664433;21127
L'Aquila;Ancona;OK;196662;7092
L'Aquila;Aosta;OK;849056;28516
L'Aquila;Perugia;OK;173842;8178
L'Aquila;Arezzo;OK;307875;10082
L'Aquila;Grosseto;OK;307534;11635
L'Aquila;Massa;OK;483714;15575
L'Aquila;Pistoia;OK;402553;12821
L'Aquila;Prato;OK;385955;12439
L'Aquila;Siena;OK;337474;11245
L'Aquila;Brescia;OK;647533;20815
L'Aquila;Como;OK;716617;22896
L'Aquila;Cremona;OK;632661;20347
L'Aquila;Lecco;OK;716198;23123
L'Aquila;Lodi;OK;640074;20333
L'Aquila;Mantova;OK;562753;18131
L'Aquila;Pavia;OK;653307;21479
L'Aquila;Sondrio;OK;795756;26797
L'Aquila;Varese;OK;724663;23201
L'Aquila;Monza;OK;676622;21525
L'Aquila;Alessandria;OK;700803;22879
L'Aquila;Asti;OK;736470;24106
L'Aquila;Biella;OK;766566;25396
L'Aquila;Cuneo;OK;738223;25781
L'Aquila;Novara;OK;717987;23637
L'Aquila;Verbania;OK;769012;25221
L'Aquila;Vercelli;OK;749043;24640
L'Aquila;Bolzano - Bozen;OK;733111;23630
L'Aquila;Belluno;OK;639091;21877
L'Aquila;Rovigo;OK;473735;16880
L'Aquila;Treviso;OK;562966;19722
L'Aquila;Verona;OK;595082;19151
L'Aquila;Vicenza;OK;544075;19214
L'Aquila;Gorizia;OK;673528;23725
L'Aquila;Pordenone;OK;620549;21125
L'Aquila;Udine;OK;662769;23016
L'Aquila;Imperia;OK;714730;24764
L'Aquila;La Spezia;OK;511742;16648
L'Aquila;Savona;OK;639351;21784
L'Aquila;Agrigento;OK;958769;44328
L'Aquila;Caltanissetta;OK;908300;41191
L'Aquila;Catania;OK;799018;36840
L'Aquila;Enna;OK;882937;40335
L'Aquila;Messina;OK;703428;32700
L'Aquila;Ragusa;OK;904878;42177
L'Aquila;Trapani;OK;650527;43631
L'Aquila;Reggio di Calabria;OK;705620;28077
L'Aquila;Cosenza;OK;521941;20897
L'Aquila;Crotone;OK;600433;25854
L'Aquila;Vibo Valentia;OK;616534;25181
L'Aquila;Matera;OK;432167;16977
L'Aquila;Isernia;OK;178266;7874
L'Aquila;Terni;OK;92712;5001
L'Aquila;Brindisi;OK;521823;18871
L'Aquila;Lecce;OK;557197;20273
L'Aquila;Taranto;OK;491558;18505
L'Aquila;Andria;OK;356997;12838
L'Aquila;Trani;OK;367242;13321
L'Aquila;Avellino;OK;252700;10028
L'Aquila;Benevento;OK;235344;9911
L'Aquila;Caserta;OK;201201;8233
L'Aquila;Salerno;OK;268966;10645
L'Aquila;Forlì;OK;343156;12819
L'Aquila;Modena;OK;496518;16554
