node;lat;lon
L'Aquila;42.350164;13.391926
Catanzaro;38.9076353;16.5960465
Potenza;40.644317;15.808567
Palermo;38.111051;13.335745
Napoli;40.8506962;14.2463172
Campobasso;41.560027;14.66753
Trento;46.0664228;11.1257601
Genova;44.40726;8.9338624
Bologna;44.4936714;11.3430347
Firenze;43.7678381621;11.254954138
Venezia;45.4384143;12.318564
Torino;45.0709201;7.685972
Trieste;45.6300555;13.7879014
Bari;41.1256631;16.8619381
Cagliari;39.2225376;9.1169358
Roma;41.8937261451;12.4818293585
Milano;45.466797;9.1905368
Ancona;43.6170137;13.5170982
Aosta;45.7343472;7.3088547
Perugia;43.1119613;12.3890104
Arezzo;43.4626463;11.8777798
Grosseto;42.7597261;11.1137389
Massa;44.0366034;10.1409467
Pistoia;43.9333544654;10.9192503916
Prato;43.880598;11.0969262
Siena;43.3185536;11.3316533
Brescia;45.5388814355;10.2183260834
Como;45.8106805;9.0863028
Cremona;45.1346234007;10.0230892414
Lecco;45.855682;9.402845
Lodi;45.3138233;9.5024266
Mantova;45.1613638;10.799208
Pavia;45.1860043;9.1546375
Sondrio;46.1709447;9.8767107
Varese;45.8183902;8.823913
Monza;45.5834418;9.2735257
Alessandria;44.9131176;8.616157
Asti;44.9006793;8.2068525
Biella;45.5664109;8.0542758
Cuneo;44.3895619;7.5478699
Novara;45.4464036;8.619655
Verbania;45.9221715;8.5516789
Vercelli;45.3251557;8.4227666
Bolzano - Bozen;46.4967608976;11.3579620739
Belluno;46.1375185;12.2181711
Rovigo;45.0709034153;11.7870969807
Treviso;45.6660842;12.2417066
Verona;45.4384958;10.9924122
Vicenza;45.5484616301;11.5498288336
Gorizia;45.9441468;13.6244204
Pordenone;45.9592682638;12.6601924042
Udine;46.0647096;13.2358296
Imperia;43.8833265;8.0222474
La Spezia;44.107033;9.8282255
Savona;44.3078775;8.4810276
Agrigento;37.316522;13.5896537
Caltanissetta;37.4898289;14.0632916
Catania;37.5026081;15.0871114
Enna;37.5659619;14.2824038
Messina;38.1937571;15.5542082
Ragusa;36.9254832;14.7291966
Trapani;38.0160543;12.5437475
Reggio di Calabria;38.1104608;15.6614235
Cosenza;39.3099931;16.2501929
Crotone;39.0806223;17.127196
Vibo Valentia;38.67428;16.095097
Matera;40.668523;16.601585
Isernia;41.600225;14.23822
Terni;42.5641417;12.6405466
Brindisi;40.6327065;17.941611
Lecce;40.3570373;18.1718482
Taranto;40.4712677;17.243176
Andria;41.227674;16.2947553
Trani;41.275088;16.4162585
Avellino;40.9141958;14.7888764
Benevento;41.1295587;14.7824639
Caserta;41.083215;14.3349289
Salerno;40.6779781;14.7657547
Forlì;44.2219510821;12.0409456341
Modena;44.6481448089;10.9291304488
Parma;44.8011232;10.3285084
Ravenna;44.4161414;12.2017617
Rimini;44.0587517;12.5631537
Ascoli Piceno;42.8546936;13.5863341
Macerata;43.3007275;13.4535897
Urbino;43.7280261442;12.6377844807
Fermo;43.1604184;13.7161408
Chieti;42.3446529;14.1659738
Teramo;42.6626986;13.701496
Frosinone;41.6419807;13.3469287
Latina;41.4672589;12.9035737
Rieti;42.4016906;12.8629993
Viterbo;42.4164974;12.1039438
Nuoro;40.3210601;9.3297339
Sassari;40.7233264;8.5611932
Carbonia;39.165332;8.527834
Iglesias;39.3125402;8.5341109
Sanluri;39.562642;8.898636
Villacidro;39.457539;8.737534
Lanusei;39.8792833676;9.5410513962
Tortolì;39.9266045;9.6591551
Olbia;40.9213761;9.4856254
Tempio Pausania;40.8973821;9.1035159
Ferrara;44.8367971;11.6198107
Pesaro;43.9098114;12.9131228
Padova;45.4092747532;11.8732795609
Barletta;41.3204181;16.288259
Foggia;41.4626384;15.5460328
Oristano;39.9023565;8.5948592
Pisa;43.715925;10.4018984
Livorno;43.5426309;10.3160295
Siracusa;37.0714375;15.283007
Piacenza;45.0467651;9.6993659
Bergamo;45.6945115;9.669839
